datum,locatie,magnitude,diepte,latitude,longitude,jaar
1986-12-26,Assen,2.8,1.0,52.992,6.548,1986
1987-12-14,Hooghalen,2.5,1.5,52.928,6.552,1987
1989-12-01,Kwadijk,2.7,1.2,52.529,4.971,1989
1991-02-15,Emmen,2.2,3.0,52.771,6.914,1991
1991-04-25,Eleveld,2.6,3.0,52.952,6.575,1991
1991-08-08,Assen,2.7,3.0,52.965,6.573,1991
1991-12-05,Middelstum,2.4,3.0,53.358,6.657,1991
1992-05-23,Geelbroek,2.6,3.0,52.953,6.572,1992
1992-05-24,Assen,1.6,3.0,52.956,6.562,1992
1992-06-11,Roswinkel,2.7,1.5,52.831,7.032,1992
1992-07-22,Assen,2.6,3.0,52.961,6.570,1992
1992-12-06,Loppersum,1.3,3.0,53.320,6.740,1992
1992-12-11,Froombosch,1.4,3.0,53.210,6.747,1992
1993-02-12,Tjuchem,1.0,3.0,53.294,6.868,1993
1993-03-05,Langelo,1.5,3.0,53.084,6.465,1993
1993-03-12,Sappemeer,0.9,3.0,53.160,6.805,1993
1993-03-26,Overschild,1.1,3.0,53.285,6.795,1993
1993-05-05,Westerbroek,1.5,3.0,53.177,6.685,1993
1993-05-14,Wirdum,1.1,3.0,53.305,6.793,1993
1993-06-27,Westerwijtwerd,1.4,3.0,53.316,6.650,1993
1993-06-27,Stedum,1.0,3.0,53.315,6.660,1993
1993-07-10,Oosterwijtwerd,1.4,3.0,53.333,6.837,1993
1993-07-27,Oosterwijtwerd,0.8,3.0,53.336,6.808,1993
1993-08-23,Appingedam,0.7,3.0,53.332,6.848,1993
1993-09-04,t Zandt,1.4,3.0,53.363,6.765,1993
1993-09-22,Eppenhuizen,2.0,3.0,53.368,6.675,1993
1993-09-25,Slochteren,0.9,3.0,53.208,6.812,1993
1993-11-23,Slochteren,2.2,3.0,53.202,6.820,1993
1993-12-22,Ten Post,1.6,3.0,53.294,6.753,1993
1994-02-04,Garrelsweer,1.3,3.0,53.306,6.777,1994
1994-02-05,Roswinkel,2.9,1.5,52.833,7.045,1994
1994-02-28,Garsthuizen,0.6,3.0,53.370,6.720,1994
1994-03-02,Overschild,1.5,3.0,53.279,6.807,1994
1994-03-06,Appingedam,1.0,3.0,53.323,6.805,1994
1994-03-14,Kolham,1.1,3.0,53.170,6.747,1994
1994-03-14,Leermens,1.3,3.0,53.345,6.808,1994
1994-03-14,Zandeweer,1.6,3.0,53.390,6.680,1994
1994-03-24,Farmsum,0.8,3.0,53.316,6.962,1994
1994-04-04,Overschild,1.3,3.0,53.275,6.828,1994
1994-05-07,Froombosch,1.0,3.0,53.194,6.798,1994
1994-05-10,Schildwolde,0.8,3.0,53.226,6.835,1994
1994-06-05,Meedhuizen,1.0,3.0,53.294,6.950,1994
1994-06-06,Zuidbroek,1.0,3.0,53.156,6.823,1994
1994-06-08,Huizinge,1.5,3.0,53.359,6.682,1994
1994-06-26,Appingedam,1.0,3.0,53.335,6.852,1994
1994-06-27,Roodeschool,1.7,3.0,53.423,6.770,1994
1994-07-01,Onderdendam,2.7,3.0,53.324,6.613,1994
1994-07-19,Garsthuizen,2.0,3.0,53.372,6.743,1994
1994-07-30,Toornwerd,2.7,1.0,53.351,6.628,1994
1994-07-30,Warffum,1.3,1.0,53.365,6.577,1994
1994-08-06,Bergen,3.0,2.5,52.654,4.711,1994
1994-08-16,Anloo,2.3,3.0,53.061,6.698,1994
1994-09-07,Warffum,1.4,3.0,53.402,6.575,1994
1994-09-09,Erica,1.7,3.0,52.714,6.915,1994
1994-09-21,Bergen,3.2,2.5,52.658,4.708,1994
1994-09-23,Schoonebeek,1.3,3.0,52.670,6.880,1994
1994-10-26,Luddeweer,1.2,3.0,53.246,6.737,1994
1994-12-13,Overschild,1.0,3.0,53.282,6.815,1994
1995-01-24,Delfzijl,1.3,3.0,53.316,6.897,1995
1995-01-31,Annen,2.0,3.0,53.063,6.720,1995
1995-02-01,Nieuw Annerveen,1.2,3.0,53.079,6.775,1995
1995-03-21,Eems-Dollard (nabij Eemshaven),1.1,3.0,53.438,6.913,1995
1995-04-06,Huizinge,2.0,3.0,53.360,6.680,1995
1995-04-26,Zuidlaren,0.7,3.0,53.084,6.668,1995
1995-05-15,Meedhuizen,1.8,3.0,53.309,6.945,1995
1995-06-03,Tolbert,0.9,3.0,53.190,6.358,1995
1995-06-20,Roswinkel,2.7,2.0,52.832,7.030,1995
